"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: batchSize","Param: forceSafe","Param: intKey","Param: metaSync","Param: num","Param: sequential","Param: sync","Param: valRandom","Param: valSize","Param: writeMap"
"org.lmdbjava.bench.LmdbLwjgl.readRev","sample",1,156,59.482742,3.118629,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readRev","sample",1,283,32.193692,1.429404,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readRev","sample",1,142,65.542461,3.328918,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readSeq","sample",1,209,43.901594,2.910912,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readSeq","sample",1,121,76.904059,4.297111,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readSeq","sample",1,196,46.896358,2.545693,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readSeq","sample",1,140,66.720797,3.499178,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readXxh64","sample",1,162,56.837107,1.841910,"ms/op",,,true,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readXxh64","sample",1,109,86.544797,6.149682,"ms/op",,,true,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readXxh64","sample",1,143,66.002543,3.813763,"ms/op",,,false,,1000000,true,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.readXxh64","sample",1,103,91.741492,5.735533,"ms/op",,,false,,1000000,false,,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,63,142.733247,11.711591,"ms/op",,,true,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,16,827.654144,94.973114,"ms/op",,,true,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,34,293.107832,27.276970,"ms/op",,,false,false,1000000,true,false,false,100,true
"org.lmdbjava.bench.LmdbLwjgl.write","sample",1,9,1167.181596,143.444465,"ms/op",,,false,false,1000000,false,false,false,100,true
"org.lmdbjava.bench.MapDb.readCrc","sample",1,52,192.242294,15.267755,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readCrc","sample",1,51,190.707190,13.625430,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readCrc","sample",1,43,223.992903,20.315226,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readCrc","sample",1,43,227.858003,20.600046,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,9676.725362,576.886334,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,9707.483591,1917.459548,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,8309.382258,652.605736,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readKey","sample",1,9,11151.256235,1210.495621,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,83,117.102567,8.215121,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,88,106.558557,6.794850,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,81,117.490675,7.962962,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readRev","sample",1,79,119.834650,8.289398,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,99,96.878096,7.739824,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,89,107.378895,7.717306,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,86,109.457313,6.202080,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readSeq","sample",1,84,113.742409,8.009564,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,71,132.574713,7.856889,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,68,140.493764,9.426824,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,62,154.861568,11.606489,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.readXxh64","sample",1,60,159.403213,15.085447,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,8876.079332,817.671938,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,9304.830407,973.368414,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,11361.903502,577.402786,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MapDb.write","sample",1,9,11266.832612,1720.704956,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,583.241273,68.398993,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,581.464519,44.701106,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,721.129017,81.915705,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readCrc","sample",1,18,705.924665,71.553368,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,9,7757.598265,420.171696,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,9,8420.298297,301.495500,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,15,863.187763,107.275333,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readKey","sample",1,9,9646.899200,341.531454,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,18,580.678087,41.023804,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,18,574.590521,39.655322,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,17,720.495074,93.141820,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readRev","sample",1,18,733.944946,85.697102,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readSeq","sample",1,24,479.330304,37.980112,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readSeq","sample",1,24,485.381461,40.519565,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readSeq","sample",1,18,625.300821,69.834827,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readSeq","sample",1,18,592.678457,45.799970,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,21,529.431016,51.785459,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,21,517.472256,39.054051,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,18,632.407836,34.693245,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.readXxh64","sample",1,18,632.000057,51.820997,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,9,1328.662300,252.283695,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,9,1675.391431,271.606282,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,11,1107.772881,253.763774,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.MvStore.write","sample",1,9,2113.929216,260.743793,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,27,388.788679,38.008458,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,22,477.650199,58.558163,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,31,320.280774,31.076800,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readCrc","sample",1,21,530.928981,68.783348,"ms/op",,,false,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readKey","sample",1,9,1814.036480,314.290177,"ms/op",,,true,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readKey","sample",1,9,2067.558855,348.530036,"ms/op",,,true,,1000000,false,,false,100,
"org.lmdbjava.bench.RocksDb.readKey","sample",1,9,1154.365668,150.038076,"ms/op",,,false,,1000000,true,,false,100,
"org.lmdbjava.bench.RocksDb.readKey","sample",1,9,2341.586716,421.214788,"ms/op",,,false,,1000000,false,,false,100,
